Provincia,Tipo de Parto,Rango de Edad,Cantidad,Año
La Altagracia,Cesarea,15-19,315,2020
La Romana,Cesarea,15-19,296,2020
San Pedro De Macorís,Cesarea,15-19,331,2020
Azua,Cesarea,15-19,253,2020
Elías Piña,Cesarea,15-19,35,2020
San Juan,Cesarea,15-19,250,2020
Dajabón,Cesarea,15-19,39,2020
Monte Cristi,Cesarea,15-19,148,2020
Santiago Rodríguez,Cesarea,15-19,85,2020
Valverde,Cesarea,15-19,209,2020
La Vega,Cesarea,15-19,452,2020
Monseñor Nouel,Cesarea,15-19,164,2020
Sánchez Ramírez,Cesarea,15-19,201,2020
Distrito Nacional,Vaginal,Menor de 15,59,2021
Monte Plata,Vaginal,Menor de 15,11,2021
Santo Domingo,Vaginal,Menor de 15,53,2021
Peravia,Vaginal,Menor de 15,5,2021
San Cristóbal,Vaginal,Menor de 15,24,2021
San José De Ocoa,Vaginal,Menor de 15,10,2021
Espaillat,Vaginal,Menor de 15,6,2021
Puerto Plata,Vaginal,Menor de 15,16,2021
Santiago,Vaginal,Menor de 15,49,2021
Duarte,Vaginal,Menor de 15,16,2021
Hermanas Mirabal,Vaginal,Menor de 15,0,2021
María Trinidad Sánchez,Vaginal,Menor de 15,8,2021
Samaná,Vaginal,Menor de 15,2,2021
Bahoruco,Vaginal,Menor de 15,13,2021
Barahona,Vaginal,Menor de 15,21,2021
Independencia,Vaginal,Menor de 15,2,2021
Pedernales,Vaginal,Menor de 15,1,2021
El Seibo,Vaginal,Menor de 15,1,2021
Hato Mayor,Vaginal,Menor de 15,6,2021
La Altagracia,Vaginal,Menor de 15,13,2021
La Romana,Vaginal,Menor de 15,14,2021
San Pedro De Macorís,Vaginal,Menor de 15,16,2021
Azua,Vaginal,Menor de 15,15,2021
Elías Piña,Vaginal,Menor de 15,5,2021
San Juan,Vaginal,Menor de 15,28,2021
Dajabón,Vaginal,Menor de 15,2,2021
Monte Cristi,Vaginal,Menor de 15,13,2021
Santiago Rodríguez,Vaginal,Menor de 15,4,2021
Valverde,Vaginal,Menor de 15,11,2021
La Vega,Vaginal,Menor de 15,15,2021
Monseñor Nouel,Vaginal,Menor de 15,5,2021
Sánchez Ramírez,Vaginal,Menor de 15,4,2021
Distrito Nacional,Cesarea,Menor de 15,58,2021
Monte Plata,Cesarea,Menor de 15,10,2021
Santo Domingo,Cesarea,Menor de 15,64,2021
Peravia,Cesarea,Menor de 15,8,2021
San Cristóbal,Cesarea,Menor de 15,20,2021
San José De Ocoa,Cesarea,Menor de 15,5,2021
Espaillat,Cesarea,Menor de 15,6,2021
Puerto Plata,Cesarea,Menor de 15,11,2021
Santiago,Cesarea,Menor de 15,45,2021
Duarte,Cesarea,Menor de 15,22,2021
Hermanas Mirabal,Cesarea,Menor de 15,4,2021
María Trinidad Sánchez,Cesarea,Menor de 15,9,2021
Samaná,Cesarea,Menor de 15,3,2021
Bahoruco,Cesarea,Menor de 15,4,2021
Barahona,Cesarea,Menor de 15,17,2021
Independencia,Cesarea,Menor de 15,2,2021
Pedernales,Cesarea,Menor de 15,6,2021
El Seibo,Cesarea,Menor de 15,3,2021
Hato Mayor,Cesarea,Menor de 15,2,2021
La Altagracia,Cesarea,Menor de 15,9,2021
La Romana,Cesarea,Menor de 15,9,2021
San Pedro De Macorís,Cesarea,Menor de 15,9,2021
Azua,Cesarea,Menor de 15,18,2021
Elías Piña,Cesarea,Menor de 15,1,2021
San Juan,Cesarea,Menor de 15,12,2021
Dajabón,Cesarea,Menor de 15,1,2021
Monte Cristi,Cesarea,Menor de 15,9,2021
Santiago Rodríguez,Cesarea,Menor de 15,4,2021
Valverde,Cesarea,Menor de 15,10,2021
La Vega,Cesarea,Menor de 15,24,2021
Monseñor Nouel,Cesarea,Menor de 15,2,2021
Sánchez Ramírez,Cesarea,Menor de 15,6,2021
Distrito Nacional,Vaginal,15-19,1824,2021
Monte Plata,Vaginal,15-19,306,2021
Santo Domingo,Vaginal,15-19,2501,2021
Peravia,Vaginal,15-19,423,2021
San Cristóbal,Vaginal,15-19,949,2021
San José De Ocoa,Vaginal,15-19,97,2021
Espaillat,Vaginal,15-19,224,2021
Puerto Plata,Vaginal,15-19,406,2021
Santiago,Vaginal,15-19,1106,2021
Duarte,Vaginal,15-19,253,2021
Hermanas Mirabal,Vaginal,15-19,69,2021
María Trinidad Sánchez,Vaginal,15-19,132,2021
Samaná,Vaginal,15-19,126,2021
Bahoruco,Vaginal,15-19,175,2021
Barahona,Vaginal,15-19,645,2021
Independencia,Vaginal,15-19,72,2021
Pedernales,Vaginal,15-19,130,2021
El Seibo,Vaginal,15-19,118,2021
Hato Mayor,Vaginal,15-19,152,2021
La Altagracia,Vaginal,15-19,530,2021
La Romana,Vaginal,15-19,415,2021
San Pedro De Macorís,Vaginal,15-19,533,2021
Azua,Vaginal,15-19,444,2021
Elías Piña,Vaginal,15-19,281,2021
San Juan,Vaginal,15-19,662,2021
Dajabón,Vaginal,15-19,147,2021
Monte Cristi,Vaginal,15-19,216,2021
Santiago Rodríguez,Vaginal,15-19,84,2021
Valverde,Vaginal,15-19,290,2021
La Vega,Vaginal,15-19,431,2021
Monseñor Nouel,Vaginal,15-19,174,2021
Sánchez Ramírez,Vaginal,15-19,150,2021
Distrito Nacional,Cesarea,15-19,1568,2021
Monte Plata,Cesarea,15-19,208,2021
Santo Domingo,Cesarea,15-19,1890,2021
Peravia,Cesarea,15-19,222,2021
San Cristóbal,Cesarea,15-19,658,2021
San José De Ocoa,Cesarea,15-19,92,2021
Espaillat,Cesarea,15-19,185,2021
Puerto Plata,Cesarea,15-19,245,2021
Santiago,Cesarea,15-19,765,2021
Duarte,Cesarea,15-19,290,2021
Hermanas Mirabal,Cesarea,15-19,95,2021
María Trinidad Sánchez,Cesarea,15-19,215,2021
Samaná,Cesarea,15-19,97,2021
Bahoruco,Cesarea,15-19,159,2021
Barahona,Cesarea,15-19,391,2021
Independencia,Cesarea,15-19,37,2021
Pedernales,Cesarea,15-19,76,2021
El Seibo,Cesarea,15-19,107,2021
Hato Mayor,Cesarea,15-19,104,2021
La Altagracia,Cesarea,15-19,305,2021
La Romana,Cesarea,15-19,261,2021
San Pedro De Macorís,Cesarea,15-19,286,2021
Azua,Cesarea,15-19,268,2021
Elías Piña,Cesarea,15-19,40,2021
San Juan,Cesarea,15-19,311,2021
Dajabón,Cesarea,15-19,48,2021
Monte Cristi,Cesarea,15-19,166,2021
Santiago Rodríguez,Cesarea,15-19,105,2021
Valverde,Cesarea,15-19,287,2021
La Vega,Cesarea,15-19,387,2021
Monseñor Nouel,Cesarea,15-19,198,2021
