Provincia,Tipo de Parto,Rango de Edad,Cantidad,Año
María Trinidad Sánchez,Cesarea,Menor de 15,1,2024
María Trinidad Sánchez,Vaginal,15-19,85,2024
María Trinidad Sánchez,Vaginal,Menor de 15,1,2024
Monseñor Nouel,Cesarea,15-19,154,2024
Monseñor Nouel,Cesarea,Menor de 15,11,2024
Monseñor Nouel,Vaginal,15-19,119,2024
Monseñor Nouel,Vaginal,Menor de 15,5,2024
Monte Cristi,Cesarea,15-19,147,2024
Monte Cristi,Cesarea,Menor de 15,5,2024
Monte Cristi,Vaginal,15-19,143,2024
Monte Cristi,Vaginal,Menor de 15,2,2024
Monte Plata,Cesarea,15-19,140,2024
Monte Plata,Cesarea,Menor de 15,5,2024
Monte Plata,Vaginal,15-19,193,2024
Monte Plata,Vaginal,Menor de 15,5,2024
Pedernales,Cesarea,15-19,75,2024
Pedernales,Cesarea,Menor de 15,10,2024
Pedernales,Vaginal,15-19,126,2024
Pedernales,Vaginal,Menor de 15,9,2024
Peravia,Cesarea,15-19,153,2024
Peravia,Cesarea,Menor de 15,6,2024
Peravia,Vaginal,15-19,197,2024
Peravia,Vaginal,Menor de 15,8,2024
Puerto Plata,Cesarea,15-19,146,2024
Puerto Plata,Cesarea,Menor de 15,6,2024
Puerto Plata,Vaginal,15-19,307,2024
Puerto Plata,Vaginal,Menor de 15,6,2024
Samaná,Cesarea,15-19,89,2024
Samaná,Cesarea,Menor de 15,1,2024
Samaná,Vaginal,15-19,82,2024
Samaná,Vaginal,Menor de 15,1,2024
San Cristóbal,Cesarea,15-19,393,2024
San Cristóbal,Cesarea,Menor de 15,20,2024
San Cristóbal,Vaginal,15-19,592,2024
San Cristóbal,Vaginal,Menor de 15,19,2024
San José De Ocoa,Cesarea,15-19,42,2024
San José De Ocoa,Cesarea,Menor de 15,4,2024
San José De Ocoa,Vaginal,15-19,67,2024
San José De Ocoa,Vaginal,Menor de 15,6,2024
San Juan,Cesarea,15-19,194,2024
San Juan,Cesarea,Menor de 15,14,2024
San Juan,Vaginal,15-19,457,2024
San Juan,Vaginal,Menor de 15,16,2024
San Pedro De Macorís,Cesarea,15-19,161,2024
San Pedro De Macorís,Cesarea,Menor de 15,9,2024
San Pedro De Macorís,Vaginal,15-19,331,2024
San Pedro De Macorís,Vaginal,Menor de 15,8,2024
Sánchez Ramírez,Cesarea,15-19,152,2024
Sánchez Ramírez,Cesarea,Menor de 15,9,2024
Sánchez Ramírez,Vaginal,15-19,104,2024
Sánchez Ramírez,Vaginal,Menor de 15,5,2024
Santiago,Cesarea,15-19,649,2024
Santiago,Cesarea,Menor de 15,41,2024
Santiago,Vaginal,15-19,661,2024
Santiago,Vaginal,Menor de 15,27,2024
Santiago Rodríguez,Cesarea,15-19,67,2024
Santiago Rodríguez,Cesarea,Menor de 15,1,2024
Santiago Rodríguez,Vaginal,15-19,65,2024
Santiago Rodríguez,Vaginal,Menor de 15,1,2024
Santo Domingo,Cesarea,15-19,1717,2024
Santo Domingo,Cesarea,Menor de 15,57,2024
Santo Domingo,Vaginal,15-19,2105,2024
Santo Domingo,Vaginal,Menor de 15,88,2024
Valverde,Cesarea,15-19,216,2024
Valverde,Cesarea,Menor de 15,7,2024
Valverde,Vaginal,15-19,130,2024
Valverde,Vaginal,Menor de 15,4,2024
Azua,Cesarea,15-19,142,2025
Azua,Cesarea,Menor de 15,10,2025
Azua,Vaginal,15-19,134,2025
Azua,Vaginal,Menor de 15,4,2025
Bahoruco,Cesarea,15-19,82,2025
Bahoruco,Cesarea,Menor de 15,5,2025
Bahoruco,Vaginal,15-19,86,2025
Bahoruco,Vaginal,Menor de 15,5,2025
Barahona,Cesarea,15-19,207,2025
Barahona,Cesarea,Menor de 15,13,2025
Barahona,Vaginal,15-19,217,2025
Barahona,Vaginal,Menor de 15,13,2025
Dajabón,Cesarea,15-19,34,2025
Dajabón,Cesarea,Menor de 15,0,2025
Dajabón,Vaginal,15-19,59,2025
Dajabón,Vaginal,Menor de 15,4,2025
Distrito Nacional,Cesarea,15-19,518,2025
Distrito Nacional,Cesarea,Menor de 15,20,2025
Distrito Nacional,Vaginal,15-19,423,2025
Distrito Nacional,Vaginal,Menor de 15,15,2025
Duarte,Cesarea,15-19,165,2025
Duarte,Cesarea,Menor de 15,12,2025
Duarte,Vaginal,15-19,86,2025
Duarte,Vaginal,Menor de 15,8,2025
El Seibo,Cesarea,15-19,41,2025
El Seibo,Cesarea,Menor de 15,4,2025
El Seibo,Vaginal,15-19,54,2025
El Seibo,Vaginal,Menor de 15,5,2025
Elías Piña,Cesarea,15-19,32,2025
Elías Piña,Cesarea,Menor de 15,1,2025
Elías Piña,Vaginal,15-19,100,2025
Elías Piña,Vaginal,Menor de 15,2,2025
Espaillat,Cesarea,15-19,101,2025
Espaillat,Cesarea,Menor de 15,6,2025
Espaillat,Vaginal,15-19,77,2025
Espaillat,Vaginal,Menor de 15,5,2025
Hato Mayor,Cesarea,15-19,64,2025
Hato Mayor,Cesarea,Menor de 15,2,2025
Hato Mayor,Vaginal,15-19,47,2025
Hato Mayor,Vaginal,Menor de 15,1,2025
Hermanas Mirabal,Cesarea,15-19,49,2025
Hermanas Mirabal,Cesarea,Menor de 15,1,2025
Hermanas Mirabal,Vaginal,15-19,10,2025
Hermanas Mirabal,Vaginal,Menor de 15,0,2025
Independencia,Cesarea,15-19,14,2025
Independencia,Cesarea,Menor de 15,1,2025
Independencia,Vaginal,15-19,24,2025
Independencia,Vaginal,Menor de 15,1,2025
La Altagracia,Cesarea,15-19,160,2025
La Altagracia,Cesarea,Menor de 15,9,2025
La Altagracia,Vaginal,15-19,233,2025
La Altagracia,Vaginal,Menor de 15,11,2025
La Romana,Cesarea,15-19,114,2025
La Romana,Cesarea,Menor de 15,2,2025
La Romana,Vaginal,15-19,158,2025
La Romana,Vaginal,Menor de 15,8,2025
La Vega,Cesarea,15-19,217,2025
La Vega,Cesarea,Menor de 15,11,2025
La Vega,Vaginal,15-19,123,2025
La Vega,Vaginal,Menor de 15,3,2025
María Trinidad Sánchez,Cesarea,15-19,121,2025
María Trinidad Sánchez,Cesarea,Menor de 15,1,2025
María Trinidad Sánchez,Vaginal,15-19,45,2025
María Trinidad Sánchez,Vaginal,Menor de 15,1,2025
Monseñor Nouel,Cesarea,15-19,99,2025
Monseñor Nouel,Cesarea,Menor de 15,6,2025
Monseñor Nouel,Vaginal,15-19,75,2025
Monseñor Nouel,Vaginal,Menor de 15,4,2025
Monte Cristi,Cesarea,15-19,79,2025
Monte Cristi,Cesarea,Menor de 15,4,2025
Monte Cristi,Vaginal,15-19,80,2025
Monte Cristi,Vaginal,Menor de 15,1,2025
Monte Plata,Cesarea,15-19,97,2025
Monte Plata,Cesarea,Menor de 15,3,2025
Monte Plata,Vaginal,15-19,92,2025
Monte Plata,Vaginal,Menor de 15,4,2025
Pedernales,Cesarea,15-19,43,2025
Pedernales,Cesarea,Menor de 15,9,2025
Pedernales,Vaginal,15-19,68,2025
Pedernales,Vaginal,Menor de 15,6,2025
Peravia,Cesarea,15-19,123,2025
Peravia,Cesarea,Menor de 15,2,2025
Peravia,Vaginal,15-19,108,2025
Peravia,Vaginal,Menor de 15,7,2025
Puerto Plata,Cesarea,15-19,107,2025
Puerto Plata,Cesarea,Menor de 15,4,2025
Puerto Plata,Vaginal,15-19,164,2025
Puerto Plata,Vaginal,Menor de 15,4,2025
Samaná,Cesarea,15-19,72,2025
Samaná,Cesarea,Menor de 15,2,2025
Samaná,Vaginal,15-19,49,2025
Samaná,Vaginal,Menor de 15,1,2025
San Cristóbal,Cesarea,15-19,288,2025
San Cristóbal,Cesarea,Menor de 15,13,2025
San Cristóbal,Vaginal,15-19,383,2025
San Cristóbal,Vaginal,Menor de 15,10,2025
San José De Ocoa,Cesarea,15-19,48,2025
San José De Ocoa,Cesarea,Menor de 15,4,2025
San José De Ocoa,Vaginal,15-19,50,2025
San José De Ocoa,Vaginal,Menor de 15,1,2025
San Juan,Cesarea,15-19,157,2025
San Juan,Cesarea,Menor de 15,11,2025
San Juan,Vaginal,15-19,254,2025
San Juan,Vaginal,Menor de 15,9,2025
San Pedro De Macorís,Cesarea,15-19,95,2025
San Pedro De Macorís,Cesarea,Menor de 15,6,2025
San Pedro De Macorís,Vaginal,15-19,191,2025
San Pedro De Macorís,Vaginal,Menor de 15,14,2025
Sánchez Ramírez,Cesarea,15-19,99,2025
Sánchez Ramírez,Cesarea,Menor de 15,6,2025
Sánchez Ramírez,Vaginal,15-19,51,2025
Sánchez Ramírez,Vaginal,Menor de 15,1,2025
Santiago,Cesarea,15-19,370,2025
Santiago,Cesarea,Menor de 15,50,2025
Santiago,Vaginal,15-19,416,2025
Santiago,Vaginal,Menor de 15,37,2025
Santiago Rodríguez,Cesarea,15-19,45,2025
Santiago Rodríguez,Cesarea,Menor de 15,3,2025
Santiago Rodríguez,Vaginal,15-19,38,2025
Santiago Rodríguez,Vaginal,Menor de 15,5,2025
Santo Domingo,Cesarea,15-19,1138,2025
Santo Domingo,Cesarea,Menor de 15,48,2025
Santo Domingo,Vaginal,15-19,1248,2025
Santo Domingo,Vaginal,Menor de 15,60,2025
Valverde,Cesarea,15-19,142,2025
Valverde,Cesarea,Menor de 15,11,2025
Valverde,Vaginal,15-19,75,2025
Valverde,Vaginal,Menor de 15,3,2025
